Time,Toe,Heel,SAVZ,SAVY,SAVX,SANZ,SANY,SANX,SACZ,SACY,SACX,AAVZ,AAVY,AAVX,AANZ,AANY,AANX,AACZ,AACY,AACX
28755,0,0,22.06442308,20.14951923,-10.31201923,320.77788462,-10.52355769,-43.79230769,0.56492308,-3.97723077,-1.32423077,0.84278846,-35.69326923,-30.31923077,302.24182692,-33.62884615,-25.63942308,6.16915385,-2.43661538,1.14238462
28777,0,0,-9.99807692,8.27451923,-35.31201923,321.46538462,-11.39855769,-43.79230769,0.30492308,-3.31723077,-1.95423077,-5.53221154,-53.38076923,-50.06923077,303.61682692,-32.12884615,-23.20192308,5.98915385,-1.21661538,0.20238462
28798,0,0,-32.87307692,3.46201923,-31.62451923,322.02788462,-11.89855769,-43.22980769,0.93492308,-3.27723077,-1.99423077,-2.90721154,-74.75576923,-47.50673077,304.55432692,-30.69134615,-21.88942308,5.63915385,-1.07661538,-0.61761538
28818,0,0,-57.06057692,-0.10048077,-34.12451923,322.52788462,-12.33605769,-42.16730769,0.51492308,-1.77723077,-2.30423077,-9.90721154,-79.56826923,-50.31923077,305.42932692,-29.06634615,-20.20192308,4.83915385,-1.25661538,0.0023846154
28841,0,0,-74.74807692,-6.66298077,-26.37451923,322.90288462,-12.64855769,-40.72980769,0.56492308,-1.63723077,-2.75423077,-27.71971154,-106.75576923,-63.69423077,306.36682692,-27.06634615,-18.26442308,4.49915385,-1.30661538,-1.41761538
28862,0,0,-92.06057692,-10.41298077,-21.93701923,323.21538462,-12.77355769,-38.97980769,0.86492308,-2.68723077,-3.01423077,-20.03221154,-113.63076923,-68.31923077,307.42932692,-24.75384615,-16.51442308,3.75915385,0.69338462,-2.04761538
28885,1,0,-106.37307692,-14.97548077,-26.62451923,323.46538462,-12.89855769,-36.85480769,0.25492308,-1.59723077,-3.66423077,-44.28221154,-115.94326923,-75.81923077,308.42932692,-22.37884615,-14.45192308,2.25915385,-0.03661538,-1.10761538
28907,0,0,-115.99807692,-19.66298077,-27.68701923,323.96538462,-12.89855769,-33.29230769,0.35492308,-1.06723077,-3.56423077,-42.09471154,-125.31826923,-75.81923077,309.86682692,-18.44134615,-11.63942308,1.29915385,1.69338462,-2.93761538
28929,0,1,-125.12307692,-26.03798077,-22.18701923,324.21538462,-12.71105769,-30.79230769,0.16492308,-0.04723077,-3.53423077,-41.59471154,-125.56826923,-67.88173077,310.74182692,-15.75384615,-10.13942308,0.26915385,2.14338462,-2.75761538
28956,0,0,-125.93557692,-28.60048077,-15.06201923,324.40288462,-12.39855769,-28.22980769,0.11492308,0.50276923,-4.10423077,-49.59471154,-123.06826923,-65.19423077,311.42932692,-13.12884615,-8.70192308,-1.41084615,1.68338462,-3.16761538
28977,0,0,-120.99807692,-26.78798077,-13.31201923,324.46538462,-11.89855769,-24.60480769,-0.03507692,0.84276923,-3.61423077,-40.34471154,-117.56826923,-65.13173077,312.49182692,-9.44134615,-6.82692308,-2.56084615,2.71338462,-3.77761538
28998,0,7,-114.12307692,-31.03798077,-16.12451923,324.65288462,-11.46105769,-22.22980769,-0.33507692,1.53276923,-3.54423077,-41.71971154,-105.50576923,-60.63173077,313.11682692,-7.31634615,-5.70192308,-3.87084615,2.12338462,-3.61761538
29018,0,0,-102.37307692,-26.41298077,-18.18701923,324.84038462,-11.08605769,-20.16730769,-0.22507692,1.80276923,-3.32423077,-33.78221154,-81.31826923,-54.25673077,313.80432692,-5.56634615,-4.70192308,-4.43084615,1.40338462,-3.33761538
29038,0,0,-87.06057692,-24.35048077,-15.93701923,325.15288462,-10.83605769,-18.29230769,-0.41507692,2.27276923,-2.75423077,-36.90721154,-63.63076923,-64.38173077,314.74182692,-4.06634615,-3.51442308,-4.54084615,1.90338462,-4.18761538
29058,0,0,-70.37307692,-23.97548077,-27.56201923,325.59038462,-10.52355769,-16.72980769,-0.18507692,1.55276923,-2.81423077,-29.59471154,-40.63076923,-70.38173077,315.86682692,-3.00384615,-2.45192308,-4.46084615,1.71338462,-3.80761538
29079,0,0,-56.24807692,-21.41298077,-37.12451923,326.21538462,-10.27355769,-15.47980769,-0.39507692,1.72276923,-3.49423077,-28.34471154,-22.31826923,-77.69423077,317.17932692,-2.06634615,-1.26442308,-4.50084615,1.76338462,-2.70761538
29104,0,0,-43.43557692,-19.78798077,2002.43798077,327.02788462,-10.14855769,-14.41730769,-0.46507692,2.00276923,-3.01423077,-15.84471154,-9.88076923,-76.25673077,318.616827,-1.25384615,-0.264423077,-3.48084615,2.55338462,-3.54761538
29124,0,0,-34.12307692,-17.78798077,-43.81201923,327.84038462,-10.02355769,-13.60480769,-0.35507692,1.89276923,-2.62423077,-12.96971154,3.18173077,-70.81923077,319.92932692,-0.69134615,0.61057692,-2.64084615,2.34338462,-3.76761538
29147,0,0,-28.06057692,-17.28798077,-44.18701923,328.71538462,-9.89855769,-12.85480769,-0.29507692,1.95276923,-2.46423077,-9.84471154,19.93173077,-62.00673077,321.17932692,-0.50384615,1.42307692,-1.38084615,2.47338462,-4.93761538
29170,1,0,-22.49807692,-17.35048077,-36.06201923,329.84038462,-9.64855769,-11.97980769,-0.55507692,2.50276923,-2.33423077,29.09278846,74.74423077,-2.75673077,321.99182692,-2.37884615,-0.51442308,-26.24084615,15.33338462,21.52238462
29193,1,0,-9.12307692,-7.78798077,-51.18701923,330.71538462,-9.58605769,-11.60480769,-6.28507692,4.00276923,-3.11423077,48.71778846,-51.38076923,29.11826923,321.61682692,-1.31634615,-1.95192308,-16.95084615,-5.08661538,-5.30761538
29217,0,0,32.25192308,82.27451923,-31.18701923,331.40288462,-10.89855769,-11.91730769,5.44492308,3.89276923,10.91576923,41.34278846,-35.69326923,26.05576923,321.36682692,-0.50384615,-2.95192308,7.30915385,11.60338462,3.39238462
29236,2,0,51.00192308,-4.78798077,19.93798077,331.59038462,-11.27355769,-13.85480769,4.54492308,-5.14723077,-3.15423077,11.78028846,11.05673077,15.36826923,321.11682692,-0.69134615,-3.88942308,-1.61084615,-1.06661538,0.49238462
